Image Path,Image Name,DateTimeOriginal,Latitude,Longitude
20240819/Cam3/FLIR_20240819_032031_239.jpg,FLIR_20240819_032031_239.jpg,2024:08:19 15:20:31,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_025205_823.jpg,FLIR_20240819_025205_823.jpg,2024:08:19 14:52:05,-22.34293611111111,-69.5297638888889
20240819/Cam3/FLIR_20240819_032241_196.jpg,FLIR_20240819_032241_196.jpg,2024:08:19 15:22:41,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_101407_990.jpg,FLIR_20240819_101407_990.jpg,2024:08:19 10:14:07,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_103120_915.jpg,FLIR_20240819_103120_915.jpg,2024:08:19 10:31:20,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_103540_061.jpg,FLIR_20240819_103540_061.jpg,2024:08:19 10:35:39,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_102157_627.jpg,FLIR_20240819_102157_627.jpg,2024:08:19 10:21:57,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_103951_560.jpg,FLIR_20240819_103951_560.jpg,2024:08:19 10:39:51,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_024047_640.jpg,FLIR_20240819_024047_640.jpg,2024:08:19 14:40:47,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_105038_371.jpg,FLIR_20240819_105038_371.jpg,2024:08:19 10:50:38,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_023951_828.jpg,FLIR_20240819_023951_828.jpg,2024:08:19 14:39:51,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_104829_855.jpg,FLIR_20240819_104829_855.jpg,2024:08:19 10:48:29,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_024558_555.jpg,FLIR_20240819_024558_555.jpg,2024:08:19 14:45:58,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_025927_143.jpg,FLIR_20240819_025927_143.jpg,2024:08:19 14:59:27,-22.342777777777776,-69.52975277777777
20240819/Cam3/FLIR_20240819_031640_451.jpg,FLIR_20240819_031640_451.jpg,2024:08:19 15:16:40,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_102549_346.jpg,FLIR_20240819_102549_346.jpg,2024:08:19 10:25:49,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_103650_686.jpg,FLIR_20240819_103650_686.jpg,2024:08:19 10:36:50,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_100900_601.jpg,FLIR_20240819_100900_601.jpg,2024:08:19 10:09:00,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_101449_673.jpg,FLIR_20240819_101449_673.jpg,2024:08:19 10:14:49,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_101015_343.jpg,FLIR_20240819_101015_343.jpg,2024:08:19 10:10:15,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_031112_005.jpg,FLIR_20240819_031112_005.jpg,2024:08:19 15:11:11,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_030803_163.jpg,FLIR_20240819_030803_163.jpg,2024:08:19 15:08:03,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_030328_230.jpg,FLIR_20240819_030328_230.jpg,2024:08:19 15:03:28,-22.342777777777776,-69.52975277777777
